state,year,gdp
MI,2006,47976430.964
MI,2007,48988295.94566667
MI,2008,46734710.63688889
MI,2009,44632001.102
MI,2010,46998905.607
MI,2011,48613660.22011111
MI,2012,50618429.280555554
MI,2013,52390191.92233333
MI,2014,54067439.85977778
MI,2015,56618649.537
MI,2016,58479057.10244444
MI,2017,59679141.11111111
MI,2018,62189653.04722222
MI,2019,63905089.4848889
MI,2020,60951885.40099999
MI,2021,66487918.230222225
MI,2022,73814212.07455556
MI,2023,79747897.27677777
MI,2024,82936743.91111112
MI,2025,324761.78099999996
MN,1997,20991934.470625
MN,1998,19887022.646333333
MN,1999,20809965.181444447
MN,2000,22685649.66
MN,2001,23216680.609888893
MN,2002,24126385.203222223
MN,2003,25450401.61777778
MN,2004,27333653.74577778
MN,2005,28797960.485555556
MN,2006,29781287.190444443
MN,2007,30803045.45111111
MN,2008,31655520.310222223
MN,2009,31014815.521333337
MN,2010,32530862.639333334
MN,2011,33990693.14022222
MN,2012,35295033.18988889
MN,2013,37007328.02966667
MN,2014,38416797.28466667
MN,2015,39812518.732
MN,2016,40920750.97099999
MN,2017,42048590.44444445
MN,2018,44096610.949
MN,2019,45513938.677666664
MN,2020,43496219.28633334
MN,2021,48039690.09511111
MN,2022,53846542.49955556
MN,2023,56899379.04522222
MN,2024,59884354.22822222
MN,2025,234354.2525
MO,1997,21659848.187375
MO,1998,20085243.95211111
MO,1999,21026836.492888886
MO,2000,22018196.342666667
MO,2001,22408868.72777778
MO,2002,23287017.737
MO,2003,24256238.297000002
MO,2004,25573820.21922222
MO,2005,26852625.90766667
MO,2006,27809380.51777778
MO,2007,28805835.258444443
MO,2008,30193638.877555557
MO,2009,29880519.247333333
MO,2010,30781835.676555555
MO,2011,30961663.258222222
MO,2012,32009805.128666665
MO,2013,33183983.703222223
MO,2014,33956243.50444445
MO,2015,35113336.88344444
MO,2016,35670604.975999996
MO,2017,36550954.05555555
MO,2018,37664848.31488889
MO,2019,39275710.09222222
MO,2020,38071832.263222225
MO,2021,41985957.05811111
MO,2022,46517320.48188889
MO,2023,50172069.43822222
MO,2024,52562526.60044444
MO,2025,206637.95
MS,1997,7886015.8305
MS,1998,7386148.864444445
MS,1999,7716115.885777778
MS,2000,7936473.788666667
MS,2001,8067392.888555555
MS,2002,8355094.027333334
MS,2003,8897889.161666667
MS,2004,9427292.791000001
MS,2005,9910029.524999999
MS,2006,10493813.745444445
MS,2007,10828551.085777778
MS,2008,11342275.125777777
MS,2009,10968674.759666666
