year,state,policy_change,description,policy_type,direction,intensity,sector,bill_id,level
2005,United States,"Extend through Dec 31, 2005, the authorization of appropriations for, and the...","Extend through Dec 31, 2005, the authorization of appropriations for, and the duration of, each program authorized under the Higher Education Act of 1965.",education,expansionary,high,government,policy_event_18,federal
2005,United States,"Make appropriations for the Interior Department, the EPA, and cultural progra...","Make appropriations for the Interior Department, the EPA, and cultural programs and institutions for fiscal year 2006, and provide supplemental funding for veterans' health care.",spending,expansionary,high,business,policy_event_19,federal
2005,United States,"Make appropriations for the departments of Labor, Health and Human Services,...","Make appropriations for the departments of Labor, Health and Human Services, and Education, and related agencies for fiscal year 2006.",spending,expansionary,high,business,policy_event_20,federal
2005,United States,"Make appropriations for the departments of Transportation, Treasury, and Hous...","Make appropriations for the departments of Transportation, Treasury, and Housing and Urban Development, the Judiciary, District of Columbia, and independent agencies for fiscal year 2006.",spending,expansionary,high,business,policy_event_21,federal
2006,United States,To amend the Older American Act of 1965 to authorize appropriations for fisca...,To amend the Older American Act of 1965 to authorize appropriations for fiscal years 2007 through 2011.,other,expansionary,high,mixed,policy_event_22,federal
2006,United States,Making supplemental appropriations for fiscal year 2006 for the Small Busines...,Making supplemental appropriations for fiscal year 2006 for the Small Business Administration's disaster loans program.,regulation,expansionary,high,business,policy_event_23,federal
2006,United States,Making emergency supplemental appropriations for the fiscal year ending 9/30/...,Making emergency supplemental appropriations for the fiscal year ending 9/30/2006.,spending,expansionary,high,business,policy_event_24,federal
2006,United States,Making further continuing appropriations for the fiscal year 2007.,Making further continuing appropriations for the fiscal year 2007.,spending,expansionary,high,business,policy_event_25,federal
2006,United States,"To amend title 49, United States Code, to authorize appropriations for fiscal...","To amend title 49, United States Code, to authorize appropriations for fiscal years 2007 and 2008.",spending,expansionary,high,business,policy_event_26,federal
2007,United States,"A bill to amend the U.S. Troop Readiness, Veterans' Care, Katrina Recovery an...","A bill to amend the U.S. Troop Readiness, Veterans' Care, Katrina Recovery and Iraq Accountability Appropriations Act, 2007 to eliminate the requirement that forage producers must participate in the insurance pilot program or the noninsured crop disaster",other,expansionary,high,mixed,policy_event_27,federal
2007,United States,Making emergency supplemental appropriations and additional supplemental appr...,"Making emergency supplemental appropriations and additional supplemental appropriations for agricultural and other emergency assistance for the fiscal year ending September 30, 2007.",other,expansionary,high,mixed,policy_event_28,federal
2007,United States,Making continuing appropriations for the fiscal year 2008.,Making continuing appropriations for the fiscal year 2008.,spending,expansionary,high,business,policy_event_29,federal
2007,United States,Making further continuing appropriations for the fiscal year 2007.,Making further continuing appropriations for the fiscal year 2007.,spending,expansionary,high,business,policy_event_30,federal
2007,United States,Making further continuing appropriations for the fiscal year 2008.,Making further continuing appropriations for the fiscal year 2008.,spending,expansionary,high,business,policy_event_31,federal
2008,United States,Amend the Public Health Service Act to provide additional authorization of ap...,Amend the Public Health Service Act to provide additional authorization of appropriations for the health centers program under Section 330 of the act.,healthcare,expansionary,high,households,policy_event_32,federal
2008,United States,Amend the Runaway and Homeless Youth Act to authorize appropriations.,Amend the Runaway and Homeless Youth Act to authorize appropriations.,other,expansionary,high,mixed,policy_event_33,federal
2008,United States,"Amend Title 11, District of Columbia Official Code, to implement the increase...","Amend Title 11, District of Columbia Official Code, to implement the increase provided under the District of Columbia Appropriations Act of 2008, in the amount of funds made available for the compensation of attorneys representing indigent defendants in t",spending,expansionary,high,business,policy_event_34,federal
2008,United States,"Amend Title 5, U.S. Code, to authorize appropriations for the Administrative...","Amend Title 5, U.S. Code, to authorize appropriations for the Administrative Conference of the United States through fiscal 2011.",spending,expansionary,high,business,policy_event_35,federal
2009,United States,Amend the Supplemental Appropriations Act of 2008 to provide for the temporar...,Amend the Supplemental Appropriations Act of 2008 to provide for the temporary availability of certain additional emergency unemployment compensation.,regulation,expansionary,high,mixed,policy_event_36,federal
2009,United States,Make supplemental appropriations for fiscal 2009 for the Consumer Assistance...,Make supplemental appropriations for fiscal 2009 for the Consumer Assistance to Recycle and Save Program.,other,expansionary,high,mixed,policy_event_37,federal
2009,United States,"Make appropriations for Agriculture, Rural Development, the Food and Drug Adm...","Make appropriations for Agriculture, Rural Development, the Food and Drug Administration, and related agencies for fiscal year 2010.",spending,expansionary,high,business,policy_event_38,federal
2009,United States,Make appropriations for energy and water development and related agencies for...,Make appropriations for energy and water development and related agencies for fiscal year 2010.,spending,expansionary,high,business,policy_event_39,federal
2009,United States,"Make appropriations for the Department of Interior, the environment and relat...","Make appropriations for the Department of Interior, the environment and related agencies for fiscal year 2010.",spending,expansionary,high,business,policy_event_40,federal
